,title,plot
1641,Classic – Dance of Love,"Guru, Dr. Ram Gopal Acharya teaches his disciples the core difference between paap (Sin) and punya (good deeds). One of his life's thinking is that man should never succumb to temptation and sex to ""sinners"" and women's only responsibility is to seduce men for money and ultimately destroy them.
Doli, bar dancer dances to entertain her customer, drawing false visions of lust and arousing passion in men through her sensual figure movements, keeping the dream that some day her Prince Charming, riding on a white horse would come and take her away. Meanwhile, she meets Suraj, a London-based NRI, who comes to India for business. Love blossoms between the two and Suraj transforms Doli from a symbol of disgrace into a symbol of pure and noble love.
But unfortunately, Dr. Acharya's loyalty, rather better to tell the wicked side of him, towards his friend J. K. Malhotra, father of Suraj, evokes to insult Doli and calls her a prostitute, sinner, lady of the night, adulteress and blames her for tarnishing Suraj's reputation. Fatigued, Doli finds no way other than the decision to taking refuge in Acharya's ashram. A victorious smile cures his lips, as Acharya cannot resist the lure, the forbidden joy of passion, which he always condemned - SEX.
Doli gradually realises Dr. Acharya's lustful intention to his disciples. Suraj rescues Doli from the evil clutches of Acharya as he tries to forcefully marry her. His heart is set on fire with the longing for Doli and his feet begin to quiver to the tune of wild romance, sex and passion performing this story."
1642,Dance Dance (film),"Radha and Ramu are siblings. Their parents Shyam and Sita are singers. Once, Shyam and Sita go to perform in Jalpaiguri to earn some money, since they are in a poor status and they have to pay a monthly rent. While performing in Jalpaiguri wearing sexy and revealing clothes, Sita catches the eye of a rich and powerful man called A.M. Singh. He stops them mid-way home, kills Shyam and rapes Sita. Radha and Ramu are informed of their parents' deaths. The house proprietor banishes them and they become homeless. Years later, Radha and Ramu have achieved success and are popular singers now. Ramu falls in love with Janita and Radha marries Resham, who is their troupe member. They all sing and perform together. However, Resham becomes different and strange. He comes to abuse Radha. When Ramu discovers that, he tries to prevent him, but Radha does not allow him to do it. Radha finds out that she is pregnant. She comes to inform her husband and finds him with another woman in their bed. She reacts angrily and Resham beats her in such a cruel way, that she dies in the hospital. Ramu loses all interest in life, and even Janita, his new stage partner and lover, is not able to immediately pull him out of depression. In the name of Radha she succeeds. On the way to Jalpaiguri, where the next concert is to take place, Janita is attacked by Mr. Singh's minion, but she is saved by Sita. Having arrived in Jalpaiguri, Ramu recognizes his mother, who tells him what happened many years ago. Ramu organizes a big concert which will be dedicated to his sister. There, Singh appears and attempts to kill Ramu, but Resham, consumed by guilt, saves him and is shot. Singh attempts to kidnap Janita, but Ramu saves her just in time and takes revenge on Singh for his father's life and his mother's honor. Singh is arrested by the police."
1643,Dancer (1991 film),"Raja (Akshay Kumar), a very much talented and struggling dancer lives a poor lifestyle with his childhood friend Dattu (Laxmikant Berde) & Dattu's sister Radha (Kirti Singh), who loves Raja from her childhood. While Raja dances and sings, Dattu plays drums. When Raja was a child, his father Suraj (Anand Balraj) was killed and his mother Malti (Anjana Mumtaz) was sentenced for the murder, both of them were renowned artists. One day he sees an advertisement to perform on a famous auditorium. He tries to participate there, but not allowed firstly, then he takes part desperately & wins the first prize, must to the chargin of the former random first prize winner Manish (Mohnish Behl), who now becomes his enemy. On the other side, Manish's former dance partner Priya (Mohini) falls in love with Raja, not only for he is talented, also for he is a very good human being. This angers Manish much more & now Manish tries to kill Raja & arrested. Soon, Raja and Priya discovers that they're childhood lovers of each other. Priya becomes Raja's dance partner & soon they become famous all over India, with the help of her father Rai Bahadur Brij Bhushan Sharma (Dalip Tahil). In the meantime, Malti comes out of the jail after finishing her sentence. Now, Raja confesses his love for Priya to his mother, to which she agrees and wants to meet Priya's father on Priya's birthday. On that day Malti meets with Brij Bhushan, who is none other than that stranger, who attacked to rape her once and killed Suraj when he was trying to save her.  Malti walks away from Brij Bhushan, who calls back yelling forget the past, see the happiness of their children and gives a blank cheque. But Malti tells the cheque of the bank is nothing for the sorrow filled bank of hers and shouts in front of everyone that Brij gave her cheque to stop their alliance, the entire party audience speaks Brij Bhushan as a wrong person that annoys him, he raises his hand to beat but Raja gets furious and leaves the party with his mother. Next day Priya tells Raja by phone to meet near temple that overheard by the friend of Brij Bhushan. Near temple when Raja embrace Priya, that person hits him unconscious, now Raja is applied electric shock and Brij Bhushan tells Priya to marry Manish, Priya finally agrees to avoid further torture for Raja. Raja escapes from the room and enters the dance programme, the same time Radha, along with Priya escapes from her father's custody. At last, Priya and Raja dances for the stage programme. At the end of the program, Brij Bhushan comes with his rowdies, fight starts and finally Brij Bhushan gunpoint Malti for which Raja gets hit down by rowdies and Malti this time reveals his father killer is Brij Bhushan, this rises Raja who fights everybody and kills Brij Bhushan at the end of fight by hit him onto electric wire board. Film ends with Raja and Priya marry as per Radha's wish, who got shot from Brij Bhushan earlier while avoiding bullet injury to Raja."
1644,Dil To Pagal Hai,"Rahul and Nisha are members of a massive dance troupe that performs dance-based musical plays. They are the best of friends, although Nisha is secretly in love with Rahul. Rahul announces his desire to direct a musical named Maya. The members of the troupe, including Nisha, have their doubts about the title character, ""Maya"", who Rahul describes as a girl who believes in true love and waiting for her prince charming who will surely turn up and take her away. Meanwhile, Pooja is introduced, an amazing dancer, classically trained as well, and passionate about dancing. Having been orphaned at a young age, she has been raised by close friends of her parents.
Pooja and Rahul have a string of near-misses as they run into each other time and again. Each of these instances is marked by a tune playing in the background, that registers with Pooja. Doted upon by her foster family, Pooja is soon taken to Germany by her guardian's son Ajay, her childhood best friend who has been in London for months. Just as Ajay leaves to fly to London, he proposes to Pooja. In a dilemma, she ends up accepting it. During rehearsals for the play, Nisha injures her leg and the doctor says she cannot dance for a few months. Rahul needs a new woman to play the lead role in the play. He comes across Pooja dancing one day and believes she is perfect for the role. He begs her to come to their rehearsals and she agrees. Rahul and Pooja become close friends. 
Nisha soon returns from the hospital and is upset that she has been replaced. Upon learning that Rahul loves Pooja, she becomes very jealous of her. Knowing that Rahul does not reciprocate her love, she decides to leave for London. Throughout rehearsals, Rahul and Pooja find themselves falling for one another. When Rahul drops Pooja home one day, he starts whistling his tune, making Pooja realize that she has fallen for the man with the tune she so often heard. The next day, the two go to meet Pooja's old dance tutor, who Pooja addresses as Tai, who figures that the two are blatantly in love. At the wedding of two members of the dance troupe, Rahul and Pooja share an intimate moment but are unsure how to fully express their love.
A few days before the premiere, Ajay arrives at the rehearsal hall to surprise Pooja while telling everyone that he is her fiancé. Rahul is heartbroken but tries not to show it. Nisha, who has returned, notices Rahul's devastation and explains how she too was devastated when he did not love her in return. Rahul edits the end of the play to reflect his heartbreak, in contrast to his usual style of always giving a happy ending. On the night of the premiere, as Rahul and Pooja's characters are about to break up on stage, Ajay plays a recorded tape Pooja was going to send him before his proposal where she described how she felt about Rahul. Ajay is indirectly telling Pooja that she and Rahul are meant to be together. Pooja now realizes she truly loves Rahul and the two confess their love on stage as the audience applauds them, giving the play a happy ending once again. Also, backstage, Ajay ends up asking Nisha whether she is already married or not (implying him getting interested in her)."
1645,Disco Dancer,"Anil (Mithun Chakraborty), a street performer and wedding singer from the slums of Bombay, is scarred by the memory of the rich P. N. Oberoi (Om Shivpuri) beating his mother (Gita Siddharth) in an incident during his childhood. When manager David Brown (Om Puri) is fed up with the tantrums of current Indian disco champion Sam (Karan Razdan) and looks for some new talent, he happens to see Anil dance-walking across a street. Rebranded as 'Jimmy', the rising disco star must take the throne from Sam and win the heart of Rita (Kim), Oberoi's daughter.
All seems to be going well until Oberoi hires men to connect Jimmy's electric guitar to 5,000 volts of electricity, causing Jimmy's mother to die in a tragic accident. Jimmy gets guitar phobia after witnessing his mother's death. Later, Oberoi's goons break his legs. With help from Rita, Jimmy begins to walk.
Jimmy must claim first place for Team India at the International Disco Dancing Competition amidst strong competition from Team Africa (Disco King and Queen) and Paris (Disco King and Queen). Jimmy is reluctant to dance, but Rita persuades him to do so. Sam arrives with a guitar to scare Jimmy. Rita manages to drag the show to encourage Jimmy to sing but to no avail. The crowd pelts him with stones which hit his head. Jimmy's uncle Raju (Rajesh Khanna) arrives and advises him to infuse his mother and his music; he throws the guitar to Jimmy, after which Jimmy begins to sing. Oberoi's goons kill Raju, after which Jimmy travels to their lair and beats them up. In the ensuing fight, Oberoi is electrocuted."
1646,Disco King (film),"The film begins with a cute little busker Balakrishna staging wonderful music with his mentor Venkatesh. Once, his tune allures a girl Thulasi as she is inquisitive, he walks in. Witnessing it, her elitist millionaire father Jagannatham smacks and incriminates him. Hence, he leaves the town with his mother Seeta owing to mortification. Years roll by, Sudhakar a renowned disco dancer is the son of Jagannatham who is spoiled, and supercilious. Nutan Prasad his manager is always demeaned, so, he defies supersede him with emergent. Forthwith, Nutan Prasad stretches out his hunt which ends by flashing Balakrishna. Here, they learn that two are affected by the same party. Thus, Balakrishna takes up the gauntlet and triumphs in the concert denied by Sudhakar. Soon, Balakrishna summits, and is ennobled as Disco King. In tandem, he bickers with Thulasi and wins her heart. Dethroned Sudhakar turns a dope fiend when hectic Jagannatham cabals to slay Balakrishna and electrifies his guitar with high voltage. Tragically, Seeta takes death to protect her son. Then, Balakrishna is in the pain of guitar phobia, additionally, Jagannatham cripples him. However, Thulasi boasts of his courage and retrieves him. Now, it’s a great time for the All India Disco Competition but Balakrishna is unattainable as his past haunts him. During that plight, Venkatesh appears, ignites his fire, and he is back on track. At that point, Jagannatham onslaughts when Venkatesh sacrifices his life while guarding Balakrishna. At last, Balakrishna ceases Jagannatham & Sudhakar. Finally, the movie ends on a happy note with Balakrishna continuing his musical journey."
1647,Happy New Year (2014 film),"Chandramohan ""Charlie"" Sharma is a street fighter who has been yearning for revenge from the renowned security supplier and owner of Shalimar Securities, Charan Grover for eight years. Grover labelled Charlie's father, Manohar Sharma, a businessman as a thief because Grover had conned Manohar into stealing his own diamonds worth $15 million. Charlie finds that diamonds  worth 300 crore ($39.48 million) will reach the Atlantis Hotel, Dubai on Christmas Eve. He wants to steal the same diamonds  and frame Grover. To accomplish this, he assembles a dynamic team consisting of Ex-Captain Jagmohan ""Jag"" Prakash, a hard-of-hearing strongman, Tehamton Tammilo ""Tammy"" Irani (Boman Irani), an old and seizure-prone safecracker and Manohar's best friend, Rohan Singh, a young intelligent hacker and Jag's nephew, and a lookalike of Charan's son Vicky Grover named Nandu Bhide.
Tammy is the only one who can open the vault. The team finds out that room 9C, connected to the vault through a duct system, is booked for teams participating in the World Dance Championship (WDC). The group refuses, but Charlie re-motivates the group, convincing them to become a dance team. A flashback shows that Charan Grover met Manohar and gave him a contract to build an impenetrable vault, Shaalimar. After the vault was completed, Charan drugged Manohar and conned him into stealing the diamonds by using his fingerprints. The film returns to the present, where the groups tries to employ a dance instructor, to no avail; in desperation, Nandu introduces Charlie to Mohini, a Marathi bar dancer, who is impressed by Charlie's anglicised accent and eventually agrees to help them learn dancing, unaware of their intentions. Charlie and Mohini grow very close.
They manage to qualify in the first round and eventually win the competition to represent Team India in the WDC by gaining votes through hacking. Many viewers despise them for their lack of skill, but Charlie and his team (sans Mohini) are all only concerned with the heist. In Dubai, Team Korea is especially hostile towards Team India, including Grover, their sponsor. At the semifinal, Charlie saves a Korean member from severe injury or death, instantly gaining respect and admiration from the audience. After going over the plan, everything is ready. Unfortunately, the team learns that the diamonds will arrive on New Year's Eve instead of Christmas, which impedes the heist. Luckily, India advances to the finals after judges are moved by Charlie's action.
Mohini ends up hearing about the heist, angrily confronting Charlie and his false motivations of the competition. Charlie reveals that Manohar is actually dead; following the arrest, he appealed for a trial, but Grover bribed Manohar's lawyers and tampered with the evidence. Manohar, with all hope lost, slits his wrist. However, the team makes their determination to avenge Manohar even stronger, including Tammy. Mohini joins the team and helps them with the heist.
The night of the final round, the heist is set in motion. Mohini lures Vicky into an elevator, where his thumbprint is copied on Nandu who opens the chamber. They open the crack but Charlie and Tammy find another glass safe which houses the diamonds that can open only by a 7-digit password. Tammy realizes that Manohar built this safe. Charlie opens the safe later after deep thought, realising that the password to open the safe was his own name. After stealing the diamonds, the team boards a boat, but Mohini refuses to come as she feels dedicated to protecting India's honor with the competition. Rohan joins her as well, leading to a fight amongst the remaining members.
When Team India is found missing, Grover claims that they are the thieves. As he watches Mohini perform, the other members also join her. Soon after, Charlie makes an appearance and eventually helps the team win the competition. With any and all suspicions removed from Team India, Charan and Vicky Grover are arrested. Charlie reveals himself to Charan and slips in his pocket the same razor blade Manohar slit his wrists with, completing his revenge. Team India reach the airport and manage to bypass security. Charlie camouflages the diamonds in his soft-drink, but the security guard disposes of it. Later, during the flight, Charlie reveals that he switched the fake diamonds on the trophy with the real ones. The team reaches India.
In the post-credits scene, Mohini opens her own ""Dance School"" and Charlie proposes to her with a ring made from one of the diamonds. Everyone then laughs at Nandu, who is thrown out of the bank for showing a winners' cheque. Rohan finally gains immense popularity among the girls, while Jag takes over directing the film being made earlier, with the original director now the bomb controller. Tammy now has many of the elderly ladies chasing him as their hero and everybody became very rich. Having been given a long-term sentence, Charan and Vicky Grover are now seen in a Dubai city jail, still pleading for their innocence."
1648,Jeevitham,"Mohini is the daughter of Sivashankaralingeswara Prasad, who marries Durgamma following Mohini's mother's death. Durgamma's brother Murthy wants to marry Mohini. Meanwhile, Mohini falls in love with Ashok, who is none other than her neighbour Pati, but she is not aware of that. When Murthy asks Prasad for Mohini's hand in marriage, he is refused by Mohini. An angry Murthy goes to the village and spends some time with Lakshmi and leaves her. When Lakshmi becomes pregnant, she comes to the city in search of Murthy. Before she can find Murthy, she gives birth to a boy in the hospital. She meets Murthy and requests him to accept her and the child. But Murthy refuses, so she leaves the child in Pati's car, and goes to the sea to commit suicide. In the meantime, Murthy plans to cancel  Mohini's marriage to Pati by using the child. Due to his claim that the child is Pati's and Lakshmi's, the marriage is cancelled. The rest of the story is about how Pati faces problems from Murthy, and how he reunites with Mohini."
1649,Karaikkal Ammaiyar (1973 film),"Punithavathi (Lakshmi), right from childhood, had great faith in Lord Shiva and worshipped him daily. As a young girl, she built a Sivalingam in sand, stunning people. Her father Dhanathatthan (V. S. Raghavan) was a Merchant. As a young girl, She chanted Namshivaya Mantra of Lord Shiva several times daily, and took care of devotees of Shiva coming to her village. Later, she was married to Paramathathan (R. Muthuraman) son of a wealthy merchant from Nagapattinam. A devotee of Lord Shiva continued to visit her home, whom she lavishly fed and gave clothes to. Once, her husband sent her two mangoes to be kept for him. That day, a hungry Siva devotee came to her residence. Punithavathi gave the guest Curd rice and one of the mangoes. Later, when the husband came home she served a mango, he asked for the second. She was at a loss and prayed to Lord Shiva (Sivakumar). Suddenly, a mango appeared in her hands. She served the mango to her husband, who found it divinely delicious compared to the previous one and asked her how she got the second fruit. Since he was not religious, she was scared of revealing the truth. He began suspecting her and asked her to get another fruit. She gave him a mango that she got by prayer, the fruit disappeared when he touched it. He realised that his wife was no ordinary woman.
But she was a divine person and he began to call her ""Ammaiyar"". As he could no longer treat her as his wife, he left her and moved to Madurai, where he married another woman named Bhakyavathi (Kumari Padmini), through whom he had child. They named her also Punithavathi (Baby Sumathi). Ammaiyar prayed to Lord Shiva asking for a boon—that she may worship Shiva as a disembodied wraith. Her wish was granted, leaving all her beauty and bodily being. She then took on different form (K. B. Sundarambal). She became a fiery form of Mount Kailash, climbing it upside down on her head. There, the Goddess Parvati (Srividya) asked about Ammaiyar. Shiva said that Ammaiyar is the mother, who takes care of us. Ammaiyar worshiped Shiva. Shiva greeted her, calling her ""Ammaiyae"" (my mother) and Ammaiyar replied ""Appa"" (father to all). Shiva asked for her wish, to which Ammaiyar replied ""I want endless and delightful love with you, I don't want to be born, Even if I have any birth, I should not forgot you"". Shiva asked her to visit him in Thiruvalangadu, which she again did, travelling on her hands and sang and performed a holy dance (Rudhra Thandavam). Ammaiyar visited Thiruvalangadu. Ammaiyar sang ""Thiruvaalangattu mootha Thirupathigam""."
1650,Karakattakkaran,"Muthaiya is the lead performer of a karakattam troupe based out of a village. Muthaiya's mother was his dance guru. Similarly Kamakshi is also a karakattam dancer in the nearby village and she performs regularly during temple festival of that village. Chinnarasu is the village panchayat board president and he sets an eye on Kamakshi. But Kamakshi hates Chinnarasu. To take revenge on her, Chinnarasu invites Muthaiya's dance troupe to perform during temple festival instead of Kamakshi's performance.
Muthaiya performs well and is widely appreciated by the villagers. Kamakshi also likes Muthaiya's performance. Kamakshi's father invites Muthaiya to his home. And to his shock, Kamakshi's father understands that Muthaiya is his nephew but does not reveal it to him. Muthaiya and Kamakshi fall in love with each other. Chinnarasu gets to know about Muthaiya and Kamakshi's love affair and plans to separate them.
Balaraman is Kamakshi's innocent brother-in-law who works for Chinnarasu. Chinnarasu persuades Balaraman to challenge a dance competition between Muthaiya and Kamakshi for which both accepts. In the meantime, Chinnarasu plans to kill Muthaiya during the dance program. His assassin, a butcher, throws a knife at Muthaiya, but Kamakshi saves him, thereby getting stabbed in her leg after the dance.
Muthaiya's mother gets furious upon realising that Kamakshi is her niece and takes Muthaiya along with her and also does not permit their wedding to happen. She reveals a flashback that Kamakshi's father is her own brother and he eloped with the jewels that were meant to be sold to meet the medical expenses of Muthaiya's father which led to his death. But Kamakshi's father arrives there and reveals the truth that while he went to sell the jewels, he was caught by the police suspecting him to be a smuggler following which he was jailed for a few years.
Now Muthaiya's mother realises her mistake and unites with her brother. Also she agrees for wedding between Muthaiya and Kamakshi. Chinnarasu accuses that Muthaiya and Kamakshi misbehaved in the temple and orders them to walk on fire in the temple to prove that they are pure. Muthaiya and Kamakshi successfully walk on fire while Balaraman exposes Chinnarasu's true identity before of the villagers. Balaraman pushes Chinnarasu on to the fire but Muthaiya saves him which makes Chinnarasu remorseful. Muthaiya and Kamakshi marry."
1651,Konjum Salangai,"A king Parthiban gifts a rare anklet (salangai) to a dancer Aparajita. She incurs the displeasure of people who do not like a dancer having a hold over the kingdom. She begets the king's son, Amarendran and hands him over to a priest along with the anklet. She dies after extracting a promise from him that the truth will be revealed at an appropriate time. Amarendran grows into a strong young man interested in music, dancing and martial arts. One day, a special festival is arranged and the priest thinks it is time to reveal the secret. He carries the anklet in a wooden box, and while crossing a river in floods, he loses the anklet. It is found by Amarendran, who also rescues a dancer Mallika from the floods. He hands over the anklet to the king. Amarendran also happens to meet a singer Shantha, who falls in love with him. Mallika impresses the king, is subsequently appointed the court dancer and gets the anklet as a gift. In another dance competition, Mallika dances with Kamavalli (Kushalakumari) and the anklet gets stolen due to a conspiracy. The villain Nagadevan lusts after Mallika. How Amarendran and Shantha are united forms the rest of the story."
1652,Lakshmi (2018 film),"Ten-year-old Lakshmi lives and breathes ""dance"" and dreams of winning the ""Pride of Life India Jr."" title in the national level dance competition. However, her single mother Nandini detests music and dance. Soon, Lakshmi forms an unlikely bond with the people in a cafe near her school. Though Lakshmi approaches it for the music played in the store, she soon becomes a regular visitor. Vijay Krishna alias VK welcomes her when he becomes impressed by her moves, followed reluctantly by waiter Azhagu. Lakshmi gains VK's sympathy, and he accepts her request for him to help her achieve her dreams with VK posing as her father.
She soon enrolls herself in a dance academy with the help of VK that trains and selects students for the national-level competition. She befriends a lot of the students from the academy and soon gains a good name. Arjun, one of the students, is the son of the dance master Sofia. She soon makes it to the team that represents the academy.
On the day of selections, Lakshmi has cold feet and fails to perform due to stage fright, leading to her team's disqualification. In anger, her dance master Sofia (Arjun's mother) asks her to leave and never return. When VK learns of this, he comes to the selection arena and requests to give Lakshmi another chance. It is revealed that VK was a dancer who had participated in Pride of India in 2005 but could not make up to the finals due to an accident, which led him to a coma. The selections chief, Yusuf Khan, on seeing VK, accepts and makes him an offer that Lakshmi and her team could come on board the competition if he agrees to be the coach for the team with Sofia. Yusuf was often irritated with VK's popularity back in the Pride of India 2005, and his jealousy upon him may have been why he came up with this suggestion, as it gives him a chance to beat VK this time with his own dance team. Krishna agrees to be the coach and is able to help the team. In one of the rounds, the kids in Yusuf's team scatter the stage with pins before VK's team performs. Lakshmi and Arjun star together in the romantic dance but struggle greatly with the rest of their team, due to the pain from the sharp pins. They all manage to complete the dance but have bloodstains all over by the end of it. VK and Sophia seem to be the only ones who notice. They manage to make it to the final round, though in immense pain from the pins.
The opponents who scattered the pins feel guilty and ask for forgiveness. Later when VK's team was training for the final, Nandini comes to the practicing site. As Lakshmi participated without consent, she was angry. Then she meets VK and then it is revealed that VK was Nandini's ex-fiancé and Lakshmi's father. It was his over-dedication to dance that caused their separation. Angry Nandini then walks out of the place with Lakshmi forcefully. Lakshmi tries to return. This ends up in an accident where a vehicle carrying gas cylinders explodes.
Lakshmi is saved from further injuries by VK. However, Lakshmi is rushed to the hospital, where Nandini and VK learn that she has lost her hearing ability. She is not allowed to perform but asks VK why she cannot as it was her hearing she lost and not her legs. She surprises everybody by still arriving on the stage fully in costume, ready to dance. The audience is shocked at how she is able to dance without hearing the music. VK is seen standing in the middle, amongst the audience, mimicking the dance for her. When VK is restrained and unable to mimic the dance movements for Lakshmi, but is surprised to see Lakshmi still dancing. He then notices Yusuf counting the beats for her so she can still dance in time without hearing the music and the children in his team assisting the children in VK's team in holding back the men trying to stop VK from assisting Lakshmi in her dance. In the end, Lakshmi wins the ""Pride of Life India Jr."" title."
1653,Love Story (2021 film),"Revanth is a lower caste Christian settled in Hyderabad who runs a Zumba center. Mounika, an upper caste girl, also arrives in Hyderabad in search of a job and moves into a neighbouring house. As Mounika is unsuccessful in finding a job, Revanth offers her to share pamphlets for his Zumba center for money but she rejects it for which Revanth mocks her. Following another unsuccessful job trail, she comes to the Zumba centre and dances while Revanth also joins her. Impressed with her dance, Revanth asks her to join his Zumba centre as a partner. Mounika negotiates a salary and starts working with him. Their Zumba centre becomes popular and they desire to expand their business by finding a bigger space in the city. Due to paucity of money, Revanth convinces his mother to sell their land in his hometown Armoor.
Mounika also hails from Armoor and her uncle Narasimham is an influential man in their town. He quotes a far lower price for Revanth's land and Revanth refuses to sell. That night, Mounika confronts Narasimham and demands the share of her money from their property. Narasimham refuses by intimidating Mounika, and she faints. Later, she angrily leaves the town and Revanth follows. She offers her jewellery to Revanth for their business expansion. Revanth mortgages his land and opens a bigger Zumba centre. They overcome their differences and fall in love. Mounika proposes Revanth and he accepts. As she is afraid of her abusive uncle, they plan to elope. Revanth's brother, a police sub-inspector helps them and they devise a plan to frame that Mounika has committed suicide so that no one doubts her whereabouts. They decide to execute their plan after six months and make the necessary arrangements. Revanth goes to Dubai in the meantime and they decide to get married at a registrar's office once he returns.
Revanth waits at the registrar's office but Mounika does not arrive. Revanth worriedly returns to Armoor and meets Mounika. She tells Revanth that she was sexually abused as a child by her uncle and now he is targeting her sister. She has thus decided to stay back and protect her. Revanth takes Mounika to her house who reveals the situation to her parents. In the meantime, her uncle arrives at their home. He confronts them but Mounika's mother locks him up in a room and asks Mounika to leave with Revanth by promising that she would take care of her sister. They run away by taking Revanth's mother along but Narasimham's men chase them. Revanth refuses to escape and decides to fight back. As Narasimham tries to kill Mounika, Revanth kills him in retaliation and he is arrested by the police. Later the court admits that Revanth's act was unintentional."
1654,Mayuri (film),"Mayuri is a real story of classical dancer Sudha Chandran, who lost her leg in an accident on her way from Trichy to Madras in June 1981. The story depicts how she got a Jaipur foot and fights her way back as a dancer and succeeds in life."
1655,Mee Raqsam,The film shows a moving bond between father-daughter. Classical dance is the love of the girl's life and also becomes a weapon that defeats restrictive forces of society.The courage of a traditional Muslim who chooses his daughter's desire over obedience to his traditional minded elders. Mee Raqsam was filmed in Kaifi Azmi's native village of Mijwan in Azamgarh district.
1656,Munna Michael,"Manasva ""Michael"" Roy is a dancer inspired by Michael Jackson. One day Michael is fired from his job and disappointedly leaves the studio. On his way home, he finds a newborn baby crying on the roadside. Michael adopts the child and names him Manav ""Munna"" Roy. Munna, just like Michael, grows up to be an extraordinary dancer and a diehard fan of Michael Jackson. Michael doesn't want Munna to become a dancer and instead insists him to find a proper job. Munna instead visits dance clubs with his friends and challenges their dancers, thereby earning money in the process. Michael falls ill and is admitted to a hospital. When Munna goes to see him, he once again asks him to drop his idea of dancing. Meanwhile, the dance clubs in Mumbai have blacklisted Munna and his friends, so Munna decides to try his luck in Delhi.
At a club in Delhi, Munna clashes with a guy called Balli  and beats his mates. Balli is the brother of Mahender Fauji, a gangster. When Mahender learns about his brother's fight, he asks a police inspector to get him Munna. Mahender watches CCTV footage of Munna dancing in the waiting room, just before the fight with Balli begins. Mahender is impressed with Munna's dancing skills and asks Munna to teach him how to dance. During the dance sessions, Munna and Mahender become close friends. One day, some gangsters attack Mahender and Munna saves his life. After that Mahender brings Munna to Delhi and declares him to be like his brother. Mahender tells Munna that he wants to become a good dancer, because the girl he loves, Deepika ""Dolly"" Sharma is a dancer in a club. Munna advises Mahender to give Dolly a gift.
Mahender, instead of personally offering the gift, asks Munna to hand it to Dolly. Munna gives Dolly the gift and lies to her that he is a courier boy. Dolly and Munna become good friends after they meet each other a few more times. During their meetings, Dolly tells Munna that it is her dream to become a renowned dancer and that she would like to win the Dancing Star contest, to be held soon in Mumbai. Munna gives Dolly an appointment letter for the lead dancer role at the Blue Star Hotel in Meerut, which is owned by Mahender. Dolly accepts the offer. Mahender meets Dolly and ask her to be friends and gives her a car and a flat. When Dolly enters the flat, she finds Balli hiding in there, who tells her that Mahender would keep her as a sex slave and nothing else. Hearing this, Dolly runs away from the house. When Mahender learns of the incident, he attempts to kill Balli. Munna and Mahender's other friend step in and stop Mahender from killing Balli in his rage. During this incident Munna discovers that Mahender is married and that he was married against his will. After losing Dolly, Mahender becomes depressed and Munna promises Mahender that he will get Dolly back.
Munna returns to Mumbai and coincidentally finds Dolly who is there to participate in Dancing Star, the contest she had mentioned to Munna earlier. Dolly tells Munna that she wants to win the show so that she will be able to face her father, as she ran away from home to pursue her dancing career. Munna changes his mind to take Dolly back to Mahender and decides to help her in winning the show. Munna asks his friends to help Dolly by becoming part of his dance group. Munna had previously told Dolly that he cannot dance. One day, Dolly finds Munna dancing and training her dance group and finds that Munna had been lying to her.
Munna tells Dolly the truth. Dolly asks Munna to be her partner at the dance competition. Meanwhile, Mahender comes to Mumbai in search of Dolly, acknowledges Munna's betrayal, and brings Michael to Delhi, giving Munna 24 hours to bring Dolly to him or otherwise his father would be killed. Dolly and Munna go to Delhi and Dolly tells Mahender that she loves Munna and leaves his house. Munna, Michael and Dolly leave for Mumbai. Balli finds them and tries to beat them up, but instead, Munna beats Balli and his goons. During the fight Balli shoots Munna in the leg. Munna still goes onstage and performs with Dolly, and they win. Mahender, later, accepts Munna and Dolly's love and they remain friends."
1657,Naache Mayuri,"Mayuri is a real story of Bharatanatyam dancer Sudha Chandran, who lost her leg in an accident on her way to Trichy to Chennai in June 1981. The story depicts how she received an artificial Jaipur foot and eventually learned to dance again, triumphing over her fate, and ultimately becoming very successful in her life."
